นาย	Mr.
co-ordinated compounds and examples	- two or more nouns can occur together to make a new noun where the second (and other) nouns do NOT modify the first<div>- often, they involve a four-syllable pattern, with duplication of first and third elements, internal rhyme, alliteration, or insertion of meaningless syllable to preserve rhythm</div><div>พ่อแม่: parents (father - mother)</div><div>พี่น้อง: siblings (older sibling - younger sibling)</div><div>เสื้อผ้า: clothes (upper garmet - lower garment)</div><div>ปู่ย่าตายาย: grandparents (paternal grandfather - paternal grandmother - maternal grandfather - maternal grandmother)</div><div>ชาวไร่ชาวนา: farmers (people - dry rice field - people - wet rice field)</div><div>ชาวเขาชาวดอย: mountain people (people - hill - people - mountain)</div><div>นำพักนำแรง: one's own effort/labour (water - rest - water - energy)</div><div>ครูบาอาจารย์: teacher (teacher - rhyming nonsense syllable - teachers)</div><div>วัดวาอาราม: wats/temples (temple - alliterative/rhyming nonsense syllable - temple buildings)</div>
general classifier rules and examples	<div>noun phrases are nounds accompanied by one or more modifiers</div>1) classifiers are obligatory for noun phrases containing numerals<div>2) uncountable nouns like rice, beer, silk are counted as expected (e.g., bottle, kilo, meter)</div><div>3) every noun is counted by specific classifier</div><div>เพื่อนสองคน: two friends (friend - two - person)</div><div>หมาห้าตัว: five dogs (dog - five - classifier for animals and things)</div><div>หนังสือสิบเลม: ten books (book - ten - classifier for books/knives/swords/etc)</div><div><br /></div>
อัน	1) the piece (slice/flake/part) (ปัญหานี้เป็นปัญหาที่สำคัญที่สุดอันหนึ่งในการออกแบบโปรแกรม)<div>2) classifier for small things ()</div>
บาน	1) to bloom/to open out/to come out (หลังการเก็บเกี่ยว ดอกงิ้วจะบานแดงเต็มทุ่ง)<div>2) delighted (คนยากคนจนที่ด้อยโอกาสทุกคนต่างยิ้มหน้าบาน)</div><div>3) classifier for some flat thing (doors, windows, mirrors) (ขโมยปีนเข้าบ้านโดยทุบทำลายหน้าต่างกระจก 1 บาน แต่ไม่มีทรัพย์สินใดสูญหาย)</div><div>4) excessively (แม่เตรียมของกินไว้บานเลย อย่างกับจะไปอยู่สัก 1 เดือน)</div>
ใบ	1) classifier for fruit, eggs, leaves, containers (cups, bowls) slips of paper, documents, etc.&nbsp;(แม่ซื้อโอ่งใหม่มา 3 ใบเพื่อรองน้ำไว้สำรองใช้)<div>2) the leaf (เด็กๆ มักเอาใบตำลึงมาจุ่มสีแล้วทาบบนกระดาษ จะได้รูปเหมือนกบ)</div>
ฉบับ	1) the copy (issue/edition/version) (เราจะพูดถึงวิธีแก้ปัญหาอีกครั้งหนึ่งในฉบับต่อไป)<div>2) classifir for letters/newspapers/documents/things with versions (บ้านนี้รับหนังสือพิมพ์วันละ 2 ฉบับ, Count unit: ฉบับ)</div>
ชนิด	1) classifier for types/kinds/sorts (of things) (สินค้าราคาจะแพงหรือไม่แพงขึ้นอยู่กับชนิดของวัตถุดิบที่ใช้)
ชิ้น	1) classifiers for pieces (of cake, meat, cloth, work, etc) (ผมมีหมู4ชิ้น) (การขายสินค้าของบริษัทมียอดการส่งสินค้ามากกว่า 2 ล้านชิ้น)<div>2) the piece (slice/flake/part/fragment/segment) (แม่หั่นขนมปังเป็นชิ้นสามเหลี่ยม)</div>
ชุด	1) the group (set/series/collection) (ประธานาธิบดีของจีนมาเยือนไทยตามคำเชิญของรัฐบาลชุดนี้)<div>2) classifier for sets of things (มหาวิทยาลัยเปิดขายใบสมัครชุดละ 150 บาท)</div><div>3) the suit (dress/uniform) (ลูกๆ ชอบใส่ชุดที่แม่ตัดให้)</div>
เชือก	1) classifier for elephants (เขาเลี้ยงช้างไว้หลายเชือก)<div>2) the rope (string/cord) (โคบาลใช้เชือกผูกม้าเอาไว้ใต้ต้นไม้)</div>
ดอก	1) classifier for flowers/keys (เขาซื้อดอกกุหลาบมาให้ฉัน 3 ดอก)<div>2) the decorative/floral pattern (คืนนี้เธอใส่ชุดนอนยาวลายดอกเล็กๆ ที่ข้าพเจ้าเคยชมว่าสวยเป็นพิเศษ)</div><div>3) the flower; count unit ดอก&nbsp;(ดอกไม้กำลังออกดอกสะพรั่ง)</div><div>4) the interest ? (เงินเดือนหักหนี้หักดอกแล้วเหลือหมื่นเศษนิดหน่อย)</div><div>4) (interj) unquestionable/certainly ()</div>
ฟอง	1) classifier for eggs (งูเห่าจะออกลูกมาเป็นไข่ครั้งละหลายๆ ฟองอยู่ในรูหรือโพลง)<div>2) the bubble (blowing bubbles) ( ีถ้าเอียงแก้วหน่อยๆ จะช่วยไม่ให้มีฟองมากเกินไป)</div>
แห่ง	1) the place/the location/the spot/the venue (syn thii) (พื้นที่ป่าแห่งนี้มีวัตถุประสงค์มุ่งที่จะจัดทำให้เป็นที่อยู่อาศัยของสัตว์ป่าโดยตรง)<div>2) classifier for places ()</div>
ห่อ	1) to wrap/to package/to envelop (สิ่งของที่จะส่งทางไปรษณีย์ต้องห่อให้เรียบร้อย)<div>2) classifier for packages/parcels/packets (แม่ไปตลาด เพื่อซื้อกะปิ น้ำปลาและยาแก้ปวดสองสามห่อ)</div>
ห้อง	1) the room ()<div>2) classifier for rooms ()</div>
ขบวน	1) the procession (line) (ขบวนของนักเรียนเดินออกจากโรงเรียนอย่างเป็นระเบียบเรียบร้อย)<div>2) classifier for trains and processions (e.g., parades) ()</div>
คัน	1) the stick (bow/rod/long handle) (นำธนูมาเจาะรูให้เป็นสี่เหลี่ยมกึ่งกลางคันให้พอดีกับเดือยสี่เหลี่ยมที่ยื่นออกมา)<div>2) the ridge (อาจารย์ทำคันมากั้นน้ำตรงนั้น)</div><div>3) to itch (ไฮโดรคาร์บอนทำให้ระคายเคืองนัยน์ตาและคันตามผิวหนัง)</div><div>4)&nbsp;Amesiodendron sinensis (plant)</div><div>5) classifier for vehicles, spoons, forks ()</div>
ข้อ	1) the item (provision/clause/point)<div>2) the item (joint? ell?) ()</div><div>3) classifier for items/clauses/points (e.g., in a contract or formal statement) ()</div>
คู่	1) the pair (คู่ของรองเท้าสีดำนี้หายไป)<div>2) (adj) even (การตรวจสอบความผิดพลาดพาริตีมีอยู่สองแบบคือแบบคู่และแบบคี่)</div><div>3) classifier for a pair (กระดูกลำตัวประกอบด้วยกระดูกสันหลัง กระดูกอก กระดูกซี่โครง 12 คู่)</div><div>4) to match/to be paired with (แม่น้ำเจ้าพระยาฝั่งตะวันออกมีวัดสง่างามคู่วังหลวงแห่งองค์พระมหากษัตริย์)</div><div>5) a couple (spouses) (สามีภรรยาคู่นี้เป็นคู่ที่เหมาะสมกันมาก)</div>
เครื่อง	1) the tool (instrument/apparatus/appliance) (มนุษย์สามารถทำให้คอมพิวเตอร์เป็นเครื่องช่วยแก้ปัญญาได้หลายรูปแบบ)<div>2) the thing (article/matter) ()</div><div>3) the machinery; count unit เครื่อง (เครื่องของรถคันสีขาวไม่ค่อยดีเท่าไรควรนำไปซ่อมบำรุงได้แล้ว)</div><div>4) numerical classifier for telephones/TVs/radios/computers/etc ()</div>
ลำ	1) classifier for long, slender, tapering objects (and boats/airplanes?) (กรมศุลกากรสามารถจับกุมเรือน้ำมันเถื่อนในฝั่งทะเลอันดามันได้ถึง 7 ลำ)<div>2) the trunk (body/stalk) ()</div>
หลัง	1) (adv) behind (มีคนพูดซุบซิบกันอยู่หลังหน้าต่าง)<div>2) classifier for dwellings/houses (แบบสถาปัตยกรรมของอาคารแต่ละหลังในกรุงเทพฯ เปลี่ยนไปตามยุคสมัย)</div><div>3) (adj) next (after/later) (คราวหลังอย่ามาสายอีกนะ)</div><div>4) the back (of body) (เด็กชายสองคนกำลังหาบน้ำจนหลังโก่ง เดินตุปัดตุเป๋ตรงมาที่บ้าน)</div><div>5) (adv) after (past, ant: ก่อน) (หลังสงครามโลกครั้งที่หนึ่ง อิตาลีมีแต่ความเสื่อมทราม ทั้งทางการเมือง เศรษฐกิจ และสังคมล้าหลัง)</div>
เล่ม	1) classifier for books/knives/swords/etc (ซีดีรอมเพียงสองแผ่นจะบรรจุรายการหนังสือได้มากว่าหนึ่งล้านเล่ม)
หลอด	1) the straw (drinking) (หล่อนยกแก้วชาดำเย็นขึ้นดูดน้ำหวานจากหลอด)<div>2) classifier for light bulbs, tubes (e.g., toothpaste, straws) ()</div>
ลูก	1) classifier for fruits, balls, mountain ranges (ฝรั่ง 1 ก.ก. จะมีประมาณ 3 ลูก)<div>2) the child/the kid (ความแออัดยัดเยียดทำให้เธอกับสามี และลูกๆ ทะเลาะเบาะแว้งกันอยู่เสมอ)</div>
เม็ด	1) the seed (grain (of sand)) (นิ้วมือของคุณหญิงประดับด้วยเพชรเม็ดเขื่องแสนแวววาว)<div>2) classifier for seeds/grains/pills/buttons (สร้อยเส้นนี้ประกอบด้วยเพชรกว่า 10 เม็ด)</div><div>3) the chessman</div>
มวน	1) the orange bug ? ()<div>2) to roll (a cigarette) (ลุงคล้อยลุกมานั่งขวางประตูรับลม เอากล่องยาสูบมามวนบูหรี่สูบ)</div><div>3) to be colicky (uncontrolled lots of crying) (พอรับประทานน้ำมันละหุ่งเข้าไป ผมก็รู้สึกมวนท้องขึ้นมาทันที)</div><div>4) numerical classifier for a roll (like cigarettes) (บุหรี่สักมวน เหล้าสักแก้ว ผมไม่เคยเห็นเขากิน)</div>
ต้องการ	1) to require (want/need/request/demand) (การที่ผู้โดยสารยอมจ่ายเงินค่าโดยสารเพิ่มขึ้นเป็นเพราะพวกเขาต้องการความสะดวกสบายในการเดินทาง)
อ้างอิง	1) referable (quotable/consultative) (ข้อมูลทั้งหมดถูกเก็บไว้ในรูปตารางอ้างอิง)<div>2) to refer/to cite/to quote (ผู้ทำนายจะต้องสามารถอ้างอิงสิ่งต่างๆ ที่เปลี่ยนแปลงไปตามเวลาได้)</div>
มาสาย	1) to come late ()
สาย	"1) the string/the thread/the wire<div>2) the line/the route</div><div>3) classifier for roads/canals/waterways/belts/necklaces/ropes</div><div>4) late (""as in you came late!"")</div>"
ใคร	1) who (who did it?)
อย่างไร	1) how?<div>2) often changes to ยังไง when talk fast</div>
ที่ไหน	1) where?<div>2) for short: ไหน</div><div>3) also: which (which one, which person) (อันไหน, คนไหน)</div>
ทำไม	1) why?
ห้องนำ้อยู่ที่ไหน	"""where is the bathroom?"""
อยู่	1) to be (somewhere)<div>2) to be on figuratively (e.g., phone) (ผมกำลังคุยโทรศัพท์อยู่)</div><div>3) to lodge/stay somewhere</div><div>4) to be alive/living</div>
รึเปล่า	"1) question word for where you have no information about the answer (คุณเป็นคนอเมริกันรึเปล่า) (""are you an american?"")<div><br /></div><div>NOTE: very similar to ไหม</div>"
ไหม	"1) used to ask a question where you have little information about the answer (คุณชอบอาหารไทยไหม) (do you like thai food?)<div><div><br /></div><div>NOTE: very similar to รึเปล่า.</div><div>NOTE: colloquial versions are มะ and ปะ</div><div>NOTE nouns: &nbsp;can NOT use if the answer is ""to be [a noun]"". &nbsp;use รึเปล่า instead. &nbsp;for example: คุณเป็นครูรึเปล่า (are you a&nbsp;teacher?)</div><div>NOTE : CANNOT use if negative particle (ไม่) in question. &nbsp;use หรอ instead. &nbsp;example: คุนไม่ชอบอหารไทยหรอ</div></div>"
หรอ	"1) question word for negative particles (คุณไม่ใช่คนอเมริกันหรอ) (คุณไม่หิวหรอ)<div><div>2) not restricted to only negative questions:&nbsp;</div><div>examples: can use for ""asking for confirmation"" questions. &nbsp;used this way, it is very similar to ใช่ไหม, but with หรอ you have hard evidence, whereas with ใช่ไหม you are just confirming. &nbsp;(you see a friend walking with a new, girl, later ask คุณมีแฟนไหม่แล้วหรอ; have thai food with friend, friend is sweating a lot and not enjoying it, so เผ็ดหรอ)</div><div><br /></div><div><br /></div></div>"
ใช่ไหม	"1) confirmation question word (without evidence). &nbsp;(""..., right?"", ""..., aren't you/isn't it?""). Examples:<div>คุณเป็นคนไทยใช่ไหม</div><div><br /></div><div>NOTE: similar to / can also use ใช่รึเปล่า (lit. 'is/yes or not')</div>"
มะ	1) colloquial version of ไหม<div>NOTE: very similar to ปะ</div><div>Ex: เธอชอบเขามะ</div>
ปะ	1) colloquial version of ไหม. very similar to มะ<div>(question word with little info about answer)</div><div>Ex: เธอชอบเขาปะ</div>
หรือ	<div>1) (conj) or ()</div>2) very formal question word<div>Less formal: หรอ</div><div>Even less formal: อ๋อ</div><div>เขาชอบแกหรือ</div>
อ๋อ	1) very informal question particle for asking confirmation with hard evidence / negative particles. &nbsp;Ex:<div>(you see him talking to your friend: เขาชอบแกอ๋อ)</div>
how to answer a question	"answer with the important information the asker wants to find out.<div>Ex</div><div>Q: ""คุณชอบอาหารไทย""&nbsp;</div><div>A: ""ชอบครับ""</div><div><br /></div><div>Q: ""คุนพูดภาษาไทยได้รึเปล่า""</div><div>A: ""ไม่ได้ครับ""</div><div><br /></div><div>2) if question uses หรอ (which is asking for confirmation with hard evidence) you can just say ครับ for confirmation</div><div><br /></div><div>3) if question uses ใช่ไหม, you say ใช่ครับ or ไม่ใช่ครับ</div>"
เปล่า	1) no/not (synonym: ไม่) (นักเรียนพูดกับครูว่า ผมเปล่าลอกข้อสอบนะครับ)<div>2) (adj) bare/naked/nude (สมัยผมเด็กๆ ผมเดินไปโรงเรียนด้วยเท้าเปล่าเป็นประจำ)</div><div>3) (adj) empty/blank (ตำรวจจับผู้เสพยาพร้อมของกลางอันได้แก่ขวดเปล่าที่บรรจุ ยาเค และ ยาเลิฟ มากกว่า 40 ขวด)</div>
นะ	1) particle used at end of clause (เย็นนี้อย่าลืมไปงานเลี้ยงให้ได้นะ)
เพลง	1) the song/the musical composition (ผมชอบฟังเพลงนะครับ)
ฟัง	1) to obey/to comply with (เธอฟังผู้ใหญ่ไว้บ้างก็ดี ยังไงเขาก็ผ่านมาก่อนเรา)<div>2) to listen/to hear (พวกเธอฟังที่วิทยากรเขาพูดหรือเปล่า มัวแต่คุยกันอยู่นั่น)</div>
รู้	"1) to know (information) (ผมรู้ว่าไรอันชอบอาหารเผ็ด)<div><br /></div><div>NOTES:&nbsp;</div><div>- usually use ""ว่า"" after. &nbsp;means ""know that...""</div><div>- in contrast to รู้จัก which means ""know someone/someplace""</div>"
เผ็ด	1) (adj) spicy/hot/pungent (like with chilis) (เขาไม่ชอบอาหารรสเผ็ด)<div>2) (v) to be hot/to be spicy/to be pungent ()</div>
รส	1) the flavor/the taste; count unit &nbsp;(คนอังกฤษดื่มเบียร์รสจืด ต่างกับคนไทยที่ชอบรสเยอรมัน) (หูกวีอย่างท่านจันทร์นั้น ท่านฟังรวมรสหมด)<div>2) the Ministry of Labour and Social Welfare (???)</div>
รู้จัก	"1) to know (someone or someplace) (คุณยังไม่รู้จักเขาดีพอ)<div><br /></div><div>NOTE:</div><div>- do not use to mean ""know some information"" (e.g., knowing the date / knowing someone likes apples) -- use รู้ (with ว่า)</div>"
เอา	1) to want (when placing an order) (ผมเอาข้าวผัดไก่) ([if eating something, offering to a friend: คุณเอาไหม)
นำ้เปล่า	1) the plain water / the drinking water (ผมเอานำ้เปล่าครับ)
ขอ	"1) to beg/to ask for (ผมขอไปได้ไหม)<div>2) the hook; count unit เล่ม, ตัว, อัน&nbsp;(เขาค่อยๆ เคลื่อนตัวลงสู่ผิวน้ำพร้อมกับมือซ้ายถือขอแน่น) (เด็กที่น่าสงสารมาขอเงินไปซื้อยาให้แม่)</div><div><br /></div><div>NOTE:</div><div>- use if asking ""can i do something?"" this construction: ผมขอไปได้ไหม</div><div>- do not need ""มี"" if asking for something (ผมขอรหัสวายฟายได้ไหมครับ))</div>"
ช่วย	"1) to help/to assist (คุณช่วยเรียนได้ไหม)<div><br /></div><div>NOTE: use when asking someone else to do something, with ""can"" at the end</div>"
รหัด	1) the code ()<div><br /></div><div>related:</div><div>- รหัสผ่าน (password)</div><div>- รหัสลับ (secret code)</div>
รหัสผ่าน	1) password (การใช้งานเครื่องพิมพ์นั้น ต้องใช้รหัสผ่านก่อน ซึ่งจะถูกควบคุมและจัดการ โดยผู้จัดการสำนักงาน)
ทำ	1) to do (เขาชอบทำการฝีมือประเภทแกะสลักผัก ผลไม้<div>2) to make (ไรอันชอบทำขนม) (เขามีความสามารถด้านแกะสลัก เขาจึงคิดทำเก้าอี้ที่ต้องอาศัยการแกะสลัก)<div><div>3) to observe (ประชาชนทุกคนมีหน้าที่ทำตามกฎหมาย)</div><div>3) to act (เขาชอบร้องรำทำเพลง เมื่อพบเจอเพื่อนฝูง)</div><div>4) to have plastic surgery (ปัจจุบันการเสริมความงามต้องคำนึงถึงความปลอดภัยให้มากขึ้น เช่น ทำนัยน์ตา ทำจมูก)</div><div>5) to commit (ที่เด็กๆ ต้องเจ็บตัวแบบนี้เพราะเขาเป็นคนทำ)</div><div>6) to work (พ่อแม่ของเขาทำสวนผลไม้ เพื่อหาเงินส่งเขาเรียน)</div></div></div>
ทำให้	1) to cause/to produce an effect (คุณทำให้ผมมีความสุข) (ดื่มเบียร์ทำให้ผมอ้วน)
ดื่ม	1) to drink/to swallow a liquid (ดื่มเห้ล่าทำให้อ้วน)
อ้วน	1) (v) to be fat<div>2) (adj) fat</div>
กิน	1) to eat (กินฟาสท์ฟูดทำให้อ้วน)<div>2) to use (take/spend) ()</div><div>3) to corrupt (e.g., embezzle) ()</div>
ให้	1) to give/to offer (แม่ให้เงินติดตัว 1,000 บาทเป็นค่ารถและค่ากินอยู่ในกรุงเทพ)<div>2) to permit/to allow (หมอให้เธอลุกจากเตียงได้หลังจากอาการป่วยดีขึ้น)</div><div>3) (aux) 'to' (inifinitive-maker before verb????) ()&nbsp;</div>
อยาก	1) to want [to (verb)] (ผมอยากไปกรุงเทพ)<div><br /></div><div>NOTE: contrasted with อยากให้, which is used when you want someone ELSE to do something</div>
อยากให้	1) to want [someone else to do something]<div>usage: อยากให้ + [someone else] + verb</div><div>เราอยากให้คุณผูดภาษาไทยทุกวัน</div><div><br /></div><div>NOTE: contrasted with อยาก, which you use when you yourself want to do something</div>
ทุก	1) (determiner) every/each/all (ประชาชนทุกคนควรไปเลือกตั้ง)
อยากได้	1) to want [a thing noun for yourself]<div>lit: to want + to receive</div><div>(เราอยากได้โทรศัพท์ใหม่)</div><div><br /></div><div>NOTE: only used with things. &nbsp;for people, use อยากมี</div>
โทรศัพท์	1) telephone; count unit เคื่อง (หลังจากที่เริ่มมีโทรศัพท์ การติดต่อสื่อสารก็ก้าวหน้าขึ้นเป็นลำดับ)
ใหม่	1) (adj) new/novel/fresh (เขาเป็นคนหนึ่งที่เห่อดาราภาพยนตร์คนใหม่)<div>2) (adv) again/afresh/once more (หลังสงครามโลกครั้งที่ 2 การกีดกันทางการค้านี้ได้เริ่มขึ้นใหม่อีกและได้ขยายตัวทวีความรุนแรงขึ้นเรื่อยๆ)</div><div>3) (adv) newly/recently/anew (บ้านนี้เพิ่งทาสีใหม่ๆ)</div>
อยากมี	1) to want to have [a person, not a thing]<div>(ผมอยากมีแฟน)</div><div><br /></div><div>NOTE: to want to receive things, use อยากได้</div>
ก็	1) (adj) also / likewise (ญี่ปุ่นก็เป็นอีกชาติหนึ่งที่กำลังทุ่มเททางด้านคอมพิวเตอร์เป็นอย่างมาก)<div>2) (conj) as a result (พอวิทยากรพูดจบ ทุกคนก็ตบมือให้)</div>
ก็ดี	1) (adv) or (either or / whether or)&nbsp;(เจ้าสวรรค์ก็ดี เทพยดาผู้ครองโลกก็ดี หรือเทพยดาผู้ครองนรกก็ดีในมือถืออาวุธทั้งสิ้น)<div>2) (v) may as well / be not bad (ฉันว่าเสื้อตัวนี้ก็ดีนะ เหมาะกับบุคลิกของเธอ)</div>
วิทยา	1) the knowledge (related: philosophy/science) (การศึกษาเรื่องศาสนาสามารถศึกษาได้ทั้งแนววิทยาศาสตร์ และแนวแห่งความเชื่อเกี่ยวกับหลักทางปรัชญา)<div><br /></div><div>related: วิทยากร (expert)</div>
วิทยากร	1) the expert (มีคนโทรเข้ามาคุยกับวิทยากรมาก เนื่องจากวิทยากรเป็นคนมีความรู้และพูดได้น่าฟัง)
how to ask to do something?	ผมขอ[something]ได้ไหม
how to ask someone to do something?	คุณช่วย[something]ได้ไหม
พูด	"1) to speak (speak now, do you speak thai, NOT ""he is talking"") (ฉันพูดกับเขาไม่รู้กี่ครั้งต่อกี่ครั้งแล้ว เขาก็ไม่ฟัง) (เราทำงานอยู่ที่เดียวกันแต่ไม่เคยพูดกันสักที) (เขาเรียกประชุมบรรดาบรรณาธิการทั้งหลาย เพื่อพูดถึงปัญหาต่างๆ)<div><br /></div><div>related:</div><div>บอก (to tell information / describe)</div><div>คุย (to talk)</div><div>เล่า (to tell story)</div>"
คุย	1) to talk / to chat / to converse (to someone; on the phone) (ผมคุยโรศพท์) (ผมอยากคุยกับคุณ)<div>2) to brag (ครูห้ามเด็กคุยเสียงดังในห้องเรียน)<br /><div><br /></div><div>related:</div><div>พูด (to speak)</div><div>บอก (to tell information / describe)</div><div>เล่า (to tell story)</div></div>
เล่า	1) to tell a story (recount / narrate) (ท่านนายพลเคยเล่าว่าบ้านเดิมอยู่ในวัดสะตือ จึงมีความผูกพันกับวัดนี้เป็นพิเศษ)<div><br /></div><div>related:</div><div><div>พูด (to speak)</div><div>บอก (to tell information / describe)</div><div>คุย (to talk)</div></div>
ไม่	"1) negation (not) -- used to negate verb or adjective (เราไม่หิว) (เธอไม่ชอบอาหารเผ็ด)<div><br /></div><div>NOTE: do not use for ""do not [verb]"" -- use อย่า</div>"
หิว	1) to be hungry (กลางวันนี่ผมไม่ค่อยกินอะไรเท่าไร หิวเมื่อไรก็กิน)
อย่า	1) do not [verb] (อย่านอนดึก)<div><br /></div><div>contrasted with ไม่ (negate verb or noun)</div>
เหล้า	1) the alcohol / the booze (อย่ากินเห้าเยอะ)
นอน	1) to sleep (คุณพ่อนอนอยู่ในห้องนี้)
เยอะ	1) (adv) much (อย่ากินข้าวเยอะ)<div>2) (adv) many ()&nbsp;</div>
ประมาณ	1) (adv) about (approximately) (ราคาประมาณสองร้อยบาท) (มีผู้เสนอตัวจะลงชิงชัยตำแหน่งประธานาธิบดีประมาณ 12 คน)<div>2) to estimate/to approximate (ในการทำอาหารบางครั้งก็ไม่มีสูตรอะไรที่แน่นอนตายตัว จะต้องประมาณประมาณอัตราส่วนของส่วนผสมเอาเอง)</div>
ข่าว	1) the news; count unit ข่าว, ชิ้น (ผมจะบอกข่าวเกียวกับประเทศไทย) (ปัจจุบันมีข่าวอาชาญากรรมตามหน้าหนังสือพิมพ์มากขึ้นทุกวัน)<div>2) the information; count unit เรื่อง, ประเด็น&nbsp;(ผู้เห็นเหตุการณ์ต้องการให้ข่าวเรื่องการโจรกรรมธนาคารแก่ตำรวจ)</div>
ประเทศ	1) country; count unit ประเทศ (เธอยอมเดินทางกลับประเทศเพื่อสู้คดีต่างๆ)
ราคา	1) the price (ธนาคารอาคารสงเคราะห์ประเมินราคาที่ดินไว้ตารางละ 5,600 บาท)
วิทยุ	1) the radio; count unit เครื่อง (เมื่อภรรยาของข้าพเจ้าทราบข่าวจากวิทยุและหนังสือพิมพ์ เธอก็เป็นลมแล้วฟื้นอยู่หลายครั้ง)
ยิน	1) to become aware of / to perceive by the ear ()
ได้ยิน	1) to hear (ฉันได้ยินเสียงฟ้าร้อง) (คุณได้ยินผมได้ไหม / ได้ยินไหม) (ได้ยินข่าว)
ฟ้าร้อง	1) the thunder (คนป่าดั้งเดิมกลัวฟ้าร้อง ความมืด และสิ่งต่างๆ ที่อยู่เหนือความเข้าใจ)<div>2) to thunder ()</div>
เสียง	1) the voice (related: opinion/view) (เรื่องนี้ฉันขอไม่ออกเสียง)<div>2) the vote (related: ballot) (เขาชนะเพราะได้เสียงข้างมาก)</div>
เค้า	1) her (คุณบอกเค้ารึยัง)<div>2) the sign/the indication (เย็นนี้อย่าออกไปข้างนอกเลย ดูสิเริ่มมีเค้าว่าฝนจะตกอีกแล้ว)</div><div>3) the outline (เค้ามูลของเรื่องนี้เกิดจากความแค้นที่มีมาตั้งแต่สมัยบรรพบุรุษ)</div>
รึยัง	1) yet (question) (คุณกินข้าวรึยัง)
นิทาน	1) the tale/the fable (story) (ผมอยากให้คุณเล่านิทาน
อ่าน	1) to read (นอนาคต เราคงจะมีโอกาสได้เห็นหุ่นยนต์ที่พูด อ่าน เขียนและคิด ได้เฉกเช่นมนุษย์)<div><br /></div><div>used in to read the news</div>
เหนื่อย	1) to be tired/to be fatigued (หุ่นยนต์ไม่เหมือนคนมันไม่รู้จักเหนื่อย และไม่รู้จักเบื่อ)
เหมือน	1) to resemble / to be like<div>2) (adj) same/like/similar</div>
word order for 'will not [verb]'	same as english<div>จะไม่[verb]</div><div>ไรอันจะไม่ทน</div><div>ผมจะไม่ไปที่ประเทศเนปาล</div>
ทน	1) to be durable/to be strong (ไม้สักทนกว่าไม้ยาง)<div>2) endure/tolerate (คนเราต้องทนต่อสภาพสังคมที่เกิดขึ้น)</div><div><br /></div><div>(i will not take it!) &nbsp;endure it</div>
เอง	1) (adv) alone (do it by self/alone) (ผมทำอาหารเอง) (ผมขับรถเอง) (พ่อแม่มักจะไม่ค่อยปล่อยให้ลูกๆ อยู่บ้านกันเองตามลำพัง)<div>2) (adv) only (solely) (เราเพิ่งจะเริ่มใช้ซีดีรอมกันในช่วง 4 - 5 ปี ที่ผ่านมานี้เอง)</div>
ตัวเอง	"1) oneself/myself/yourself (ขาไม่เชื่อหูว่าตัวเองถูกรางวัลที่ 1)<div><br /></div><div>NOTE:</div><div>use to indicate personhood / reflexiveness. &nbsp;do not add to say ""i do it myself"" -- use 'เอง' added at end instead</div>"
คนเดียว	"1) (adv) alone (ผมไม่ชอบกินข้าวคนเดียว) (เขาทำงานชิ้นนี้คนเดียวเลยทำเสร็จช้ามาก)<div><br /></div><div>NOTE:</div><div>use for '1 person'. &nbsp;do NOT use for ""do something by self with no help."" use เอง for that.</div>"
เดียว	1) only/sole (มีนักบินเพียงคนเดียวที่รอดชีวิต)
ดูแล	1) to take care of / to supervise (ดูแลตัวเอง)
หลง	1) to be misled (เธอหลงเข้าใจว่าเขาชอบเธอเป็นคู่รัก)<div>2) to remain (stay behind) (ควันยังหลงอยู่ในห้องและมีกลิ่นไหม้เล็กน้อย)</div><div>3) to lose one's way (มีศาสตราจารย์ท่านหนึ่งเคยหลงเข้าไปอยู่ในป่าแห่งนี้ หาทางออกไม่ได้)</div><div>4) to be infatuated (คุณหลงตัวเอง)*** (มนุษย์เราต้องไม่หลงอยู่กับสิ่งยั่วยวนใจทั้งหลายโดยการฝึกจิตใจให้เข้มแข็งอยู่เสมอ)</div>
ขับ	1) to drive (คณะปฏิวัติขับรัฐบาลออกแล้วร่างกฎหมายใหม่)<div>2) to drive away (expel) (ถ้าเธอยังขับฉวัดเฉวียนแบบนี้อีก ฉันขอลงดีกว่า)</div>
ชา	1) the tea; count unit ห่อ, ซอง, ถุง (ประเพณีที่ชาวญี่ปุ่นถือว่าเป็นพิธีศักดิ์สิทธิ์คือพิธีชงชา)<div>2) to feel numb (อากาศหนาวจัดจะทำให้แขนและขาชาจนไม่สามารถใช้การได้)</div><div><br /></div><div><br /></div>
ทรรมชาติ	1) the nature (ทามชาติในเนปาลสวยมาก) (เราต้องช่วยกันรักษาธรรมชาติไว้)<div><br /></div><div>NOTE:</div><div>related -- natural, creation</div>
แต่	1) (adv) only/sole (คราวใดที่แม่สั่งให้ซื้อผลไม้ แม่ต้องกำชับว่าให้เลือกแต่ลูกโตๆ)<div>2) but (however/nevertheless/yet) (คนส่วนมากต้องการใช้งานระบบเครือข่ายแต่ต้องไม่ใช่ระบบ LAN) (เรารู้ว่าบุหรี่เป็นของไม่ดีแต่เราก็ยังคงสูบอยู่ทุกวัน)</div><div>3) (prep) ealier (ทุกๆ วันเราต้องออกจากบ้านแต่เช้า)</div>
เมือง	1) the city/the town<div>2) the nation/the state/the principality</div>
